shipClass,country,type,extraShipType,armorTypeFactor,armorType,factorCompatibleArmorTypes,xmlFactorConsistency,maxActualInch,maxEffectInch,deckActualInch,turretHorizontalActualInch,superStructureHorizontalActualInch,conningTowerActualInch,mainBeltActualInch,beltEndActualInch,barbetteActualInch,turretVerticalActualInch,superStructureVerticalActualInch,deckEffectInch,turretHorizontalEffectInch,superStructureHorizontalEffectInch,conningTowerEffectInch,mainBeltEffectInch,beltEndEffectInch,barbetteEffectInch,turretVerticalEffectInch,superStructureVerticalEffectInch
King Yuan,China,ArmoredCruiser,ArmoredCruiser,0.68,CompoundHardSteelFacedWroughtIron,CompoundHardSteelFacedWroughtIron,factor-consistent,9.4,6.4,3.0,1.5,2.1,5.9,9.4,5.1,8.0,1.5,3.4,2.0,1.0,1.4,4.0,6.4,3.5,5.4,1.0,2.3
Ping Yuen,China,ArmoredCruiser,ArmoredCruiser,0.75,MildSteel,MildSteel,factor-consistent,9.4,7.1,2.0,1.5,2.0,5.0,9.4,9.4,5.0,1.5,3.4,1.5,1.1,1.5,3.8,7.1,7.1,3.8,1.1,2.5
Fuso,Japan,Battleship,Ironclad,0.75,MildSteel,MildSteel,factor-consistent,9.0,6.8,0.0,0.0,1.1,0.0,9.0,4.0,0.0,8.0,2.2,0.0,0.0,0.8,0.0,6.8,3.0,0.0,6.0,1.6
Itsukushima,Japan,LightCruiser,ProtectedCruiser,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,12.0,9.4,2.0,4.0,1.2,0.0,0.0,0.0,4.0,12.0,1.4,1.6,3.1,0.9,0.0,0.0,0.0,3.1,9.4,1.1
Itsukushima (1902),Japan,LightCruiser,ProtectedCruiser,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,12.0,9.4,2.0,4.0,1.2,0.0,0.0,0.0,4.0,12.0,1.4,1.6,3.1,0.9,0.0,0.0,0.0,3.1,9.4,1.1
Matsushima,Japan,LightCruiser,ProtectedCruiser,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,12.0,9.4,2.0,4.0,1.2,0.0,0.0,0.0,4.0,12.0,1.4,1.6,3.1,0.9,0.0,0.0,0.0,3.1,9.4,1.1
Matsushima (1902),Japan,LightCruiser,ProtectedCruiser,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,12.0,9.4,2.0,4.0,1.2,0.0,0.0,0.0,4.0,12.0,1.4,1.6,3.1,0.9,0.0,0.0,0.0,3.1,9.4,1.1
Kongo,Japan,ArmoredCruiser,NotSpecified,0.6,WroughtIron,WroughtIron,factor-consistent,4.5,2.7,0.0,0.0,0.5,0.0,4.5,3.5,0.0,0.0,1.0,0.0,0.0,0.3,0.0,2.7,2.1,0.0,0.0,0.6
Chiyoda,Japan,ArmoredCruiser,ArmoredCruiser,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,4.5,3.5,1.5,0.0,0.5,0.0,4.5,0.0,0.0,0.0,0.8,1.2,0.0,0.4,0.0,3.5,0.0,0.0,0.0,0.6
Fuji,Japan,Battleship,Predreatought,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,18.0,14.0,2.5,3.5,3.9,14.0,18.0,14.0,14.0,6.0,6.8,2.0,2.7,3.1,10.9,14.0,10.9,10.9,4.7,5.3
Fuji (1902),Japan,Battleship,Predreatought,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,18.0,14.0,2.5,3.5,3.9,14.0,18.0,14.0,14.0,6.0,6.8,2.0,2.7,3.1,10.9,14.0,10.9,10.9,4.7,5.3
Rossiya,Russia,ArmoredCruiser,NotSpecified,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,12.0,9.4,3.8,0.0,1.6,12.0,8.0,0.0,5.0,0.0,2.5,2.9,0.0,1.3,9.4,6.2,0.0,3.9,0.0,1.9
Gromoboi,Russia,ArmoredCruiser,NotSpecified,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,12.0,10.0,2.0,0.0,1.1,12.0,6.0,0.0,2.0,0.0,1.7,1.7,0.0,0.9,10.0,5.0,0.0,1.7,0.0,1.4
Rurik,Russia,ArmoredCruiser,NotSpecified,0.74,HarveyMildSteel,HarveyMildSteel,factor-consistent,12.0,8.9,2.5,0.0,1.8,12.0,10.0,0.0,9.0,0.0,3.1,1.9,0.0,1.3,8.9,7.4,0.0,6.7,0.0,2.3
Idzumo,Japan,ArmoredCruiser,NotSpecified,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,14.0,11.6,2.5,3.0,1.9,14.0,7.0,0.0,6.0,6.0,2.9,2.1,2.5,1.6,11.6,5.8,0.0,5.0,5.0,2.4
Azuma,Japan,ArmoredCruiser,NotSpecified,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,14.0,11.6,2.5,3.0,1.9,14.0,7.0,0.0,6.0,6.3,2.9,2.1,2.5,1.6,11.6,5.8,0.0,5.0,5.2,2.4
Asama,Japan,ArmoredCruiser,NotSpecified,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,14.0,10.9,2.0,2.5,1.8,14.0,7.0,0.0,6.0,6.0,2.8,1.6,2.0,1.4,10.9,5.5,0.0,4.7,4.7,2.2
Tsushima,Japan,LightCruiser,NotSpecified,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,4.0,3.3,2.5,0.0,0.4,4.0,0.0,0.0,0.0,0.0,0.4,2.1,0.0,0.4,3.3,0.0,0.0,0.0,0.0,0.3
Bogatry,Russia,LightCruiser,NotSpecified,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,5.5,4.6,1.3,1.0,0.7,5.5,0.0,0.0,3.0,5.0,1.0,1.1,0.8,0.6,4.6,0.0,0.0,2.5,4.2,0.8
Yakumo,Japan,ArmoredCruiser,NotSpecified,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,14.0,11.6,2.5,3.0,1.9,14.0,7.0,0.0,6.0,6.3,2.9,2.1,2.5,1.6,11.6,5.8,0.0,5.0,5.2,2.4
Suma,Japan,LightCruiser,NotSpecified,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,4.5,3.5,1.0,0.0,0.3,0.0,0.0,0.0,0.0,4.5,0.3,0.8,0.0,0.2,0.0,0.0,0.0,0.0,3.5,0.3
Variag,Russia,LightCruiser,NotSpecified,0.82,HighTensileSteel,HighTensileSteel,factor-consistent,6.0,4.9,1.5,0.0,0.4,6.0,0.0,0.0,1.5,0.0,0.5,1.2,0.0,0.3,4.9,0.0,0.0,1.2,0.0,0.4
Poltava,Russia,Battleship,Predreatought,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,14.5,12.0,2.5,2.0,2.6,9.0,14.5,0.0,10.0,10.0,4.4,2.1,1.7,2.1,7.5,12.0,0.0,8.3,8.3,3.6
Tsessarevitch,Russia,Battleship,NotSpecified,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,10.0,8.3,4.0,2.5,2.9,10.0,9.8,7.0,9.8,9.8,4.6,3.3,2.1,2.4,8.3,8.1,5.8,8.1,8.1,3.8
Peresviet,Russia,Battleship,NotSpecified,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,9.0,7.0,3.0,2.5,2.1,6.0,9.0,0.0,8.0,9.0,3.2,2.3,2.0,1.6,4.7,7.0,0.0,6.2,7.0,2.5
Peresviet (1905),Russia,Battleship,Predreatought,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,9.0,7.0,3.0,2.5,2.1,6.0,9.0,0.0,8.0,9.0,3.2,2.3,2.0,1.6,4.7,7.0,0.0,6.2,7.0,2.5
Retvizan,Russia,Battleship,NotSpecified,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,10.0,8.3,2.0,2.0,2.0,10.0,9.0,0.0,8.0,9.0,3.3,1.7,1.7,1.7,8.3,7.5,0.0,6.6,7.5,2.8
Bayan,Russia,ArmoredCruiser,NotSpecified,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,8.0,6.2,2.0,0.0,1.4,6.8,8.0,4.0,0.0,6.8,2.4,1.6,0.0,1.1,5.3,6.2,3.1,0.0,5.3,1.9
Askold,Russia,LightCruiser,NotSpecified,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,6.0,5.0,2.0,0.0,0.5,6.0,0.0,0.0,1.5,0.0,0.6,1.7,0.0,0.4,5.0,0.0,0.0,1.2,0.0,0.5
Pallada,Russia,LightCruiser,NotSpecified,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,6.0,5.0,2.5,0.0,0.5,6.0,0.0,0.0,0.0,0.0,0.4,2.1,0.0,0.4,5.0,0.0,0.0,0.0,0.0,0.4
Boyarin,Russia,LightCruiser,NotSpecified,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,3.0,2.5,1.3,0.0,0.2,3.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.2,2.5,0.0,0.0,0.0,0.0,0.2
Novik,Russia,LightCruiser,NotSpecified,0.82,HighTensileSteel,HighTensileSteel,factor-consistent,1.8,1.4,1.8,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,1.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1
Mikasa,Japan,Battleship,Predreatought,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,14.0,11.6,3.0,5.5,3.0,14.0,9.0,4.0,14.0,6.0,4.6,2.5,4.6,2.5,11.6,7.5,3.3,11.6,5.0,3.8
Asahi,Japan,Battleship,Predreatought,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,14.0,10.9,4.0,3.5,3.0,14.0,9.0,4.0,14.0,6.0,4.6,3.1,2.7,2.3,10.9,7.0,3.1,10.9,4.7,3.6
Shikishima,Japan,Battleship,Predreatought,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,14.0,10.9,4.0,3.5,3.0,14.0,9.0,4.0,14.0,6.0,4.6,3.1,2.7,2.3,10.9,7.0,3.1,10.9,4.7,3.6
Kasagi,Japan,LightCruiser,ProtectedCruiser,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,4.5,3.5,2.5,2.5,0.8,4.5,0.0,0.0,0.0,4.5,0.7,2.0,2.0,0.6,3.5,0.0,0.0,0.0,3.5,0.5
Takasago,Japan,LightCruiser,ProtectedCruiser,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,4.5,3.5,2.5,2.5,0.8,4.5,0.0,0.0,0.0,4.5,0.7,2.0,2.0,0.6,3.5,0.0,0.0,0.0,3.5,0.6
Kasuga,Japan,ArmoredCruiser,NotSpecified,0.83,KruppCemented1894,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,factor-consistent,6.0,5.0,1.5,3.5,1.6,6.0,6.0,0.0,6.0,6.0,2.4,1.2,2.9,1.3,5.0,5.0,0.0,5.0,5.0,2.0
Nisshin,Japan,ArmoredCruiser,NotSpecified,0.83,KruppCemented1894,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,factor-consistent,6.0,5.0,1.5,3.5,1.6,6.0,6.0,0.0,6.0,6.0,2.4,1.2,2.9,1.3,5.0,5.0,0.0,5.0,5.0,2.0
Idzumi (1900),Japan,LightCruiser,ProtectedCruiser,0.75,MildSteel,MildSteel,factor-consistent,2.0,1.5,2.0,0.0,0.4,2.0,0.0,0.0,0.0,2.0,0.3,1.5,0.0,0.3,1.5,0.0,0.0,0.0,1.5,0.2
Hai Chi,China,LightCruiser,ProtectedCruiser,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,6.0,4.7,1.5,0.0,0.7,6.0,0.0,0.0,4.0,4.5,1.1,1.2,0.0,0.5,4.7,0.0,0.0,3.1,3.5,0.9
Hai Yung,China,LightCruiser,ProtectedCruiser,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,2.8,2.3,2.8,0.0,0.5,1.5,0.0,0.0,0.0,2.0,0.4,2.3,0.0,0.4,1.2,0.0,0.0,0.0,1.7,0.3
Blanco Encalada,China,LightCruiser,ProtectedCruiser,0.82,HighTensileSteel,HighTensileSteel,factor-consistent,6.0,4.9,1.8,0.0,0.8,6.0,0.0,0.0,4.0,6.0,1.2,1.4,0.0,0.6,4.9,0.0,0.0,3.3,4.9,0.9
Capitan Prat,China,Battleship,Ironclad,0.74,HarveyMildSteel,HarveyMildSteel,factor-consistent,11.8,8.7,2.0,2.0,2.5,10.5,11.8,5.9,10.8,2.0,4.3,1.5,1.5,1.8,7.8,8.7,4.4,8.0,1.5,3.2
Esmeralda,China,LightCruiser,ProtectedCruiser,0.82,NotSpecified,HighTensileSteel,unspecified,2.0,1.6,2.0,0.0,0.5,2.0,0.0,0.0,2.0,2.0,0.6,1.6,0.0,0.4,1.6,0.0,0.0,1.6,1.6,0.5
Presidente Errazuriz,China,LightCruiser,ProtectedCruiser,0.9,NotSpecified,NickelSteel; DSiliconManganeseHTSteel,unspecified,3.3,2.9,2.4,0.0,0.5,2.0,0.0,0.0,0.0,3.3,0.4,2.2,0.0,0.4,1.8,0.0,0.0,0.0,2.9,0.4
Veinticinco de Mayo,China,LightCruiser,ProtectedCruiser,0.75,MildSteel,MildSteel,factor-consistent,4.0,3.0,3.5,0.0,0.6,4.0,0.0,0.0,0.0,2.0,0.5,2.6,0.0,0.4,3.0,0.0,0.0,0.0,1.5,0.4
Nueve de Julio,China,LightCruiser,ProtectedCruiser,0.75,MildSteel,MildSteel,factor-consistent,4.0,3.0,3.5,0.0,0.6,4.0,0.0,0.0,0.0,2.0,0.5,2.6,0.0,0.4,3.0,0.0,0.0,0.0,1.5,0.4
Almirante Brown,China,ArmoredCruiser,NotSpecified,0.68,CompoundHardSteelFacedWroughtIron,CompoundHardSteelFacedWroughtIron,factor-consistent,9.0,6.1,2.0,0.0,1.9,8.0,9.0,7.5,8.0,0.0,3.4,1.4,0.0,1.3,5.4,6.1,5.1,5.4,0.0,2.3
Imperator Nicolai I,Russia,Battleship,Predreatought,0.68,CompoundHardSteelFacedWroughtIron,CompoundHardSteelFacedWroughtIron,factor-consistent,14.0,9.5,2.5,2.5,2.9,8.0,14.0,6.0,10.0,10.0,4.9,1.7,1.7,2.0,5.4,9.5,4.1,6.8,6.8,3.3
Admiral Nakhimov (1887),Russia,ArmoredCruiser,NotSpecified,0.68,CompoundHardSteelFacedWroughtIron,CompoundHardSteelFacedWroughtIron,factor-consistent,10.0,6.8,3.0,0.0,1.8,6.0,10.0,0.0,8.0,2.5,2.9,2.0,0.0,1.2,4.1,6.8,0.0,5.4,1.7,2.0
Admiral Nakhimov (1900),Russia,ArmoredCruiser,NotSpecified,0.68,CompoundHardSteelFacedWroughtIron,CompoundHardSteelFacedWroughtIron,factor-consistent,10.0,6.8,3.0,0.0,1.8,6.0,10.0,0.0,8.0,2.5,2.9,2.0,0.0,1.2,4.1,6.8,0.0,5.4,1.7,2.0
Pamiat Azova,Russia,ArmoredCruiser,NotSpecified,0.68,CompoundHardSteelFacedWroughtIron,CompoundHardSteelFacedWroughtIron,factor-consistent,6.0,4.1,2.5,0.0,0.9,1.5,6.0,0.0,0.0,2.0,1.2,1.7,0.0,0.6,1.0,4.1,0.0,0.0,1.4,0.8
Vladimir Monomakh,Russia,ArmoredCruiser,NotSpecified,0.68,CompoundHardSteelFacedWroughtIron,CompoundHardSteelFacedWroughtIron,factor-consistent,6.0,4.1,2.0,0.0,0.7,0.0,6.0,0.0,0.0,0.0,1.0,1.4,0.0,0.5,0.0,4.1,0.0,0.0,0.0,0.7
Admiral Kornilov,Russia,LightCruiser,ProtectedCruiser,0.78,NotSpecified,HarveyNickelSteel,unspecified,3.0,2.3,2.5,0.0,0.4,3.0,0.0,0.0,0.0,0.0,0.3,2.0,0.0,0.3,2.3,0.0,0.0,0.0,0.0,0.2
Borodino,Russia,Battleship,Predreatought,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,10.0,8.3,3.5,2.5,2.5,8.0,7.6,5.7,9.0,10.0,3.9,2.9,2.1,2.1,6.6,6.3,4.7,7.5,8.3,3.2
Sissoi Veliki,Russia,Battleship,Predreatought,0.9,NotSpecified,NickelSteel; DSiliconManganeseHTSteel,unspecified,16.0,14.4,3.0,2.0,2.5,9.0,16.0,0.0,5.0,10.0,4.1,2.7,1.8,2.2,8.1,14.4,0.0,4.5,9.0,3.7
Sissoi Veliki (1905),Russia,Battleship,Predreatought,0.9,NotSpecified,NickelSteel; DSiliconManganeseHTSteel,unspecified,16.0,14.4,3.0,2.0,2.5,9.0,16.0,0.0,5.0,10.0,4.1,2.7,1.8,2.2,8.1,14.4,0.0,4.5,9.0,3.7
Navarin(1905),Russia,Battleship,Predreatought,0.68,CompoundHardSteelFacedWroughtIron,CompoundHardSteelFacedWroughtIron,factor-consistent,16.0,10.9,2.0,2.0,2.8,10.0,16.0,0.0,12.0,12.0,4.9,1.4,1.4,1.9,6.8,10.9,0.0,8.2,8.2,3.3
Inflexible,Britain,Battleship,Ironclad,0.68,CompoundHardSteelFacedWroughtIron,CompoundHardSteelFacedWroughtIron,factor-consistent,24.0,16.3,3.0,1.0,4.1,12.0,24.0,0.0,20.0,17.0,7.3,2.0,0.7,2.8,8.2,16.3,0.0,13.6,11.6,5.0
Centurion,Britain,Battleship,Predreatought,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,12.0,9.4,2.5,1.0,2.2,12.0,12.0,0.0,9.0,6.0,3.8,2.0,0.8,1.7,9.4,9.4,0.0,7.0,4.7,3.0
Dreadnought,Britain,Battleship,Dreadnought,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,12.0,10.0,3.5,3.0,3.0,11.0,11.0,6.0,11.0,12.0,4.9,2.9,2.5,2.5,9.1,9.1,5.0,9.1,10.0,4.1
Invincible,Britain,Battlecruiser,NotSpecified,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,10.0,8.3,2.0,3.0,2.0,10.0,6.0,4.0,7.0,7.0,3.1,1.7,2.5,1.7,8.3,5.0,3.3,5.8,5.8,2.6
Edgar,Britain,LightCruiser,ProtectedCruiser,0.9,NotSpecified,NickelSteel; DSiliconManganeseHTSteel,unspecified,12.0,10.8,5.0,0.0,1.1,12.0,0.0,0.0,0.0,3.0,1.0,4.5,0.0,1.0,10.8,0.0,0.0,0.0,2.7,0.9
Orlando,Britain,ArmoredCruiser,NotSpecified,0.75,MildSteel,MildSteel,factor-consistent,12.0,9.0,2.0,0.0,1.3,12.0,10.0,0.0,0.0,2.0,2.2,1.5,0.0,1.0,9.0,7.5,0.0,0.0,1.5,1.6
Apollo,Britain,LightCruiser,ProtectedCruiser,0.75,MildSteel,MildSteel,factor-consistent,4.8,3.6,2.0,0.0,0.5,3.0,0.0,0.0,0.0,4.8,0.5,1.5,0.0,0.4,2.2,0.0,0.0,0.0,3.6,0.4
Sachsen,Germany,Battleship,Ironclad,0.6,WroughtIron,WroughtIron,factor-consistent,10.0,6.0,3.0,0.0,2.1,5.5,10.0,5.0,10.0,0.0,3.5,1.8,0.0,1.3,3.3,6.0,3.0,6.0,0.0,2.1
Hertha,Germany,LightCruiser,ProtectedCruiser,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,5.9,4.9,1.6,1.2,0.6,5.9,0.0,0.0,0.0,3.9,0.6,1.3,1.0,0.5,4.9,0.0,0.0,0.0,3.2,0.5
Kaiserin Augusta (1897),Germany,LightCruiser,ProtectedCruiser,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,2.8,2.3,2.8,0.0,0.4,2.0,0.0,0.0,0.0,0.0,0.3,2.3,0.0,0.3,1.7,0.0,0.0,0.0,0.0,0.2
Gefion,Germany,LightCruiser,UnprotectedCruiser,0.75,MildSteel,MildSteel,factor-consistent,1.2,0.9,1.2,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.2,0.9,0.0,0.0,0.0,0.0,0.1
D'Entrecasteaux,France,LightCruiser,ProtectedCruiser,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,9.8,7.6,3.0,2.0,1.5,9.8,0.0,0.0,7.8,9.0,2.1,2.3,1.6,1.2,7.6,0.0,0.0,6.1,7.0,1.6
Descartes,France,LightCruiser,ProtectedCruiser,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,2.8,2.2,1.8,0.0,0.4,2.8,0.0,0.0,0.0,2.0,0.4,1.4,0.0,0.3,2.2,0.0,0.0,0.0,1.6,0.3
Calabria,Italy,LightCruiser,ProtectedCruiser,0.9,NotSpecified,NickelSteel; DSiliconManganeseHTSteel,unspecified,2.0,1.8,2.0,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.2,1.8,0.0,0.3,1.8,0.0,0.0,0.0,0.0,0.2
Lombardia,Italy,LightCruiser,ProtectedCruiser,0.75,MildSteel,MildSteel,factor-consistent,2.0,1.5,2.0,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.2,1.5,0.0,0.2,1.5,0.0,0.0,0.0,0.0,0.2
Zenta,AustriaHungary,LightCruiser,ProtectedCruiser,0.83,NotSpecified,KruppCemented1894; ClassAArmor1900; KruppNickelSteel; KruppCementedWW1Era1905,unspecified,2.0,1.7,2.0,0.0,0.5,2.0,2.0,0.0,1.4,0.0,0.7,1.7,0.0,0.4,1.7,1.7,0.0,1.2,0.0,0.6
Newark (C1),UnitedStates,LightCruiser,ProtectedCruiser,0.75,MildSteel,MildSteel,factor-consistent,3.0,2.2,3.0,0.0,0.6,3.0,0.0,0.0,0.0,2.0,0.5,2.2,0.0,0.4,2.2,0.0,0.0,0.0,1.5,0.4
Royal Sovereign,Britain,Battleship,Predreatought,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,18.0,14.0,3.0,0.0,2.9,14.0,18.0,0.0,17.0,0.0,5.2,2.3,0.0,2.3,10.9,14.0,0.0,13.3,0.0,4.1
